Verbatim,Species,Class,Order,Family,Genus,Epithet,Description.year,IUCN.2022.2,IUCN.2023.1,Assesement.year,Assesement.available.online,Red.Book,MADS.1912,MADS.0126,CITES,Endemic,Polygon,Polygon.name,Phylo.name,Notes
Bothrocophias campbelli,Bothrocophias campbelli,Reptilia,Serpentes,Viperidae,Bothrocophias,campbelli,1991,VU,VU,2013,2019,VU,VU,VU,No,No,Yes,Bothrocophias campbelli,Bothrocophias_campbelli,
Bothrocophias colombianus,Bothrocophias colombianus,Reptilia,Serpentes,Viperidae,Bothrocophias,colombianus,1940,LC,LC,2013,2019,LC,No,No,No,Yes,Yes,Bothrocophias colombianus,Bothrocophias_colombianus,
Bothrocophias hyoprora,Bothrocophias hyoprora,Reptilia,Serpentes,Viperidae,Bothrocophias,hyoprora,1935,LC,LC,2014,2021,NE,No,No,No,No,Yes,Bothrocophias hyoprora,Bothrocophias_hyoprora,
Bothrocophias microphthalmus,Bothrocophias microphthalmus,Reptilia,Serpentes,Viperidae,Bothrocophias,microphthalmus,1875,LC,LC,2013,2019,LC,No,No,No,No,Yes,Bothrocophias microphthalmus,Bothrocophias_microphthalmus,
Bothrocophias myersi,Bothrocophias myersi,Reptilia,Serpentes,Viperidae,Bothrocophias,myersi,2001,NT,NT,2013,2019,NT,No,No,No,Yes,Yes,Bothrocophias myersi,Bothrocophias_myersi,
Bothrops asper,Bothrops asper,Reptilia,Serpentes,Viperidae,Bothrops,asper,1883,LC,LC,2013,2021,LC,No,No,No,No,Yes,Bothrops asper,Bothrops_asper,
Bothrops atrox,Bothrops atrox,Reptilia,Serpentes,Viperidae,Bothrops,atrox,1758,LC,LC,2015,2021,LC,No,No,No,No,Yes,Bothrops atrox,Bothrops_atrox,
Bothrops ayerbei,Bothrops ayerbei,Reptilia,Serpentes,Viperidae,Bothrops,ayerbei,2010,DD,DD,2013,2021,NT,No,No,No,Yes,Yes,Bothrops ayerbei,Bothrops_ayerbei,
Bothrops bilineatus,Bothrops bilineatus,Reptilia,Serpentes,Viperidae,Bothrops,bilineatus,1821,LC,LC,2014,2021,NE,No,No,No,No,Yes,Bothrops bilineatus,Bothrops_bilineata,
Bothrops brazili,Bothrops brazili,Reptilia,Serpentes,Viperidae,Bothrops,brazili,1954,LC,LC,2014,2021,NE,No,No,No,No,Yes,Bothrops brazili,Bothrops_brazili,
Bothrops pulcher,Bothrops pulcher,Reptilia,Serpentes,Viperidae,Bothrops,pulcher,1862,LC,LC,2013,2021,DD,No,No,No,No,Yes,Bothrops pulchra,Bothrops_pulchra,
Bothrops punctatus,Bothrops punctatus,Reptilia,Serpentes,Viperidae,Bothrops,punctatus,1896,LC,LC,2013,2021,LC,No,No,No,Yes,Yes,Bothrops punctatus,Bothrops_punctatus,
Bothrops taeniatus,Bothrops taeniatus,Reptilia,Serpentes,Viperidae,Bothrops,taeniatus,1824,LC,LC,2014,2019,NE,No,No,No,No,Yes,Bothrops taeniatus,Bothrops_taeniata,
Bothrops venezuelensis,Bothrops venezuelensis,Reptilia,Serpentes,Viperidae,Bothrops,venezuelensis,1952,LC,LC,2013,2019,LC,No,No,No,No,Yes,Bothrops venezuelensis,Bothrops_venezuelensis,
Cercosaura argulus,Cercosaura argulus,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Cercosaura,argulus,1862,LC,LC,2014,2019,LC,No,No,No,No,Yes,Cercosaura argulus,Cercosaura_argulus,
Cercosaura hypnoides,Cercosaura hypnoides,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Cercosaura,hypnoides,2012,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Cercosaura hypnoides,Cercosaura_hypnoides,
Cercosaura manicata,Cercosaura manicata,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Cercosaura,manicata,1881,LC,LC,2014,2017,NT,No,No,No,No,Yes,Cercosaura manicata,Cercosaura_manicata,
Cercosaura ocellata,Cercosaura ocellata,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Cercosaura,ocellata,1830,LC,LC,2018,2019,LC,No,No,No,No,Yes,Cercosaura ocellata,Cercosaura_ocellata,
Cercosaura oshaughnessyi,Cercosaura oshaughnessyi,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Cercosaura,oshaughnessyi,1885,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Chironius carinatus,Chironius carinatus,Reptilia,Serpentes,Colubridae,Chironius,carinatus,1758,LC,LC,2015,2021,LC,No,No,No,No,Yes,Chironius carinatus,Chironius_carinatus,
Chironius exoletus,Chironius exoletus,Reptilia,Serpentes,Colubridae,Chironius,exoletus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Chironius exoletus,Chironius_exoletus,
Chironius flavopictus,Chironius flavopictus,Reptilia,Serpentes,Colubridae,Chironius,flavopictus,1909,DD,DD,2012,2022,NE,No,No,No,No,No,NA,Chironius_flavopictus,
Chironius fuscus,Chironius fuscus,Reptilia,Serpentes,Colubridae,Chironius,fuscus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Chironius fuscus,Chironius_fuscus,
Chironius grandisquamis,Chironius grandisquamis,Reptilia,Serpentes,Colubridae,Chironius,grandisquamis,1869,LC,LC,2012,2015,LC,No,No,No,No,Yes,Chironius grandisquamis,Chironius_grandisquamis,
Chironius monticola,Chironius monticola,Reptilia,Serpentes,Colubridae,Chironius,monticola,1952,LC,LC,2014,2016,LC,No,No,No,No,Yes,Chironius monticola,Chironius_monticola,
Chironius multiventris,Chironius multiventris,Reptilia,Serpentes,Colubridae,Chironius,multiventris,1943,LC,LC,2014,2019,LC,No,No,No,No,Yes,Chironius multiventris,Chironius_multiventris,
Chironius quadricarinatus,Chironius quadricarinatus,Reptilia,Serpentes,Colubridae,Chironius,quadricarinatus,1827,LC,LC,2014,2019,NE,No,No,No,No,No,NA,Chironius_quadricarinatus,"Presence must be confirmed, mentioned as Chironius cinnamomeus"
Chironius scurrulus,Chironius scurrulus,Reptilia,Serpentes,Colubridae,Chironius,scurrulus,1824,LC,LC,2014,2019,LC,No,No,No,No,Yes,Chironius scurrulus,Chironius_scurrulus,
Chironius spixii,Chironius spixii,Reptilia,Serpentes,Colubridae,Chironius,spixii,1845,LC,LC,2015,2017,NE,No,No,No,No,Yes,Chironius spixii,Chironius_spixii,
Chlorosoma viridissimum,Chlorosoma viridissimum,Reptilia,Serpentes,Colubridae,Chlorosoma,viridissimum,1758,LC,LC,2013,2019,LC,No,No,No,No,Yes,Philodryas viridissima,Philodryas_viridissima,
Clelia clelia,Clelia clelia,Reptilia,Serpentes,Colubridae,Clelia,clelia,1803,LC,LC,2014,2019,LC,No,No,Appendix II,No,Yes,Clelia clelia,Clelia_clelia,
Clelia equatoriana,Clelia equatoriana,Reptilia,Serpentes,Colubridae,Clelia,equatoriana,1924,LC,LC,2013,2016,DD,No,No,No,No,Yes,Clelia equatoriana,Clelia_equatoriana,
Clelia scytalina,Clelia scytalina,Reptilia,Serpentes,Colubridae,Clelia,scytalina,1867,LC,LC,2012,2022,NE,No,No,No,No,No,NA,Clelia_scytalina,
Cnemidophorus arenivagus,Cnemidophorus arenivagus,Reptilia,Gymnophthalmoidea,Teiidae,Cnemidophorus,arenivagus,1997,LC,LC,2014,2022,LC,No,No,No,Yes,Yes,Cnemidophorus arenivagus,Cnemidophorus_arenivagus,
Cnemidophorus espeuti,Cnemidophorus espeuti,Reptilia,Gymnophthalmoidea,Teiidae,Cnemidophorus,espeuti,1885,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Cnemidophorus gaigei,Cnemidophorus gaigei,Reptilia,Gymnophthalmoidea,Teiidae,Cnemidophorus,gaigei,1915,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Cnemidophorus gramivagus,Cnemidophorus gramivagus,Reptilia,Gymnophthalmoidea,Teiidae,Cnemidophorus,gramivagus,1987,LC,LC,2013,2019,LC,No,No,No,No,Yes,Cnemidophorus gramivagus,Cnemidophorus_gramivagus,
Cnemidophorus lemniscatus,Cnemidophorus lemniscatus,Reptilia,Gymnophthalmoidea,Teiidae,Cnemidophorus,lemniscatus,1758,LC,LC,2015,2019,NE,No,No,No,No,Yes,Cnemidophorus lemniscatus,Cnemidophorus_lemniscatus,
Cnemidophorus splendidus,Cnemidophorus splendidus,Reptilia,Gymnophthalmoidea,Teiidae,Cnemidophorus,splendidus,1997,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Coniophanes andresensis,Coniophanes andresensis,Reptilia,Serpentes,Colubridae,Coniophanes,andresensis,1937,CR,CR,2013,2019,CR,CR,CR,No,No,Yes,Coniophanes andresensis,Coniophanes_andresensis,
Coniophanes fissidens,Coniophanes fissidens,Reptilia,Serpentes,Colubridae,Coniophanes,fissidens,1858,LC,LC,2013,2019,LC,No,No,No,No,Yes,Coniophanes fissidens,Coniophanes_fissidens,
Conophis lineatus,Conophis lineatus,Reptilia,Serpentes,Colubridae,Conophis,lineatus,1854,LC,LC,2012,2013,NE,No,No,No,No,No,NA,Conophis_lineatus,
Copeoglossum nigropunctatum,Copeoglossum nigropunctatum,Reptilia,Scincomorpha,Scincidae,Copeoglossum,nigropunctatum,1825,LC,LC,2014,2019,NE,No,No,No,No,Yes,Copeoglossum nigropunctatum,Copeoglossum_nigropunctatum,
Corallus annulatus,Corallus annulatus,Reptilia,Serpentes,Boidae,Corallus,annulatus,1875,LC,LC,2012,2016,LC,No,No,Appendix II,No,Yes,Corallus annulatus,Corallus_annulatus,
Corallus batesii,Corallus batesii,Reptilia,Serpentes,Boidae,Corallus,batesii,1860,LC,LC,2013,2016,LC,No,No,Appendix II,No,Yes,Corallus batesii,Corallus_batesii,
Corallus blombergi,Corallus blombergi,Reptilia,Serpentes,Boidae,Corallus,blombergi,1940,EN,EN,2013,2016,NE,No,No,Appendix II,No,Yes,Corallus blombergi,Corallus_blombergi,
Corallus hortulana,Corallus hortulana,Reptilia,Serpentes,Boidae,Corallus,hortulana,1758,LC,LC,2013,2016,LC,No,No,Appendix II,No,Yes,Corallus hortulanus,Corallus_hortulanus,
Corallus ruschenbergerii,Corallus ruschenbergerii,Reptilia,Serpentes,Boidae,Corallus,ruschenbergerii,1875,LC,LC,2015,2016,LC,No,No,Appendix II,No,Yes,Corallus ruschenbergerii,Corallus_ruschenbergerii,
Corytophanes cristatus,Corytophanes cristatus,Reptilia,Iguania,Corytophanidae,Corytophanes,cristatus,1820,LC,LC,2013,2016,LC,No,No,No,No,Yes,Corytophanes cristatus,Corytophanes_cristatus,
Crocodilurus amazonicus,Crocodilurus amazonicus,Reptilia,Gymnophthalmoidea,Teiidae,Crocodilurus,amazonicus,1825,LC,LC,2014,2019,LC,No,No,Appendix II,No,Yes,Crocodilurus amazonicus,Crocodilurus_amazonicus,
Crotalus durissus,Crotalus durissus,Reptilia,Serpentes,Viperidae,Crotalus,durissus,1758,LC,LC,2014,2021,LC,No,No,No,No,Yes,Crotalus durissus,Crotalus_durissus,
Ctenosaura similis,Ctenosaura similis,Reptilia,Iguania,Iguanidae,Ctenosaura,similis,1831,LC,LC,2010,2015,LC,No,No,Appendix II,No,Yes,Ctenosaura similis,Ctenosaura_similis,
Dendrophidion bivittatus,Dendrophidion bivittatus,Reptilia,Serpentes,Colubridae,Dendrophidion,bivittatus,1854,LC,LC,2013,2022,LC,No,No,No,No,Yes,Dendrophidion bivittatus,Dendrophidion_bivittatus,
Dendrophidion boshelli,Dendrophidion boshelli,Reptilia,Serpentes,Colubridae,Dendrophidion,boshelli,1944,CR,CR,2015,2017,CR,CR,CR,No,Yes,Yes,Dendrophidion boshelli,Dendrophidion_boshelli,
Dendrophidion clarkii,Dendrophidion clarkii,Reptilia,Serpentes,Colubridae,Dendrophidion,clarkii,1933,LC,LC,2012,2017,LC,No,No,No,No,Yes,Dendrophidion clarkii,Dendrophidion_clarkii,
Dendrophidion dendrophis,Dendrophidion dendrophis,Reptilia,Serpentes,Colubridae,Dendrophidion,dendrophis,1837,LC,LC,2014,2019,LC,No,No,No,No,Yes,Dendrophidion dendrophis,Dendrophidion_dendrophis,
Dendrophidion percarinatum,Dendrophidion percarinatum,Reptilia,Serpentes,Colubridae,Dendrophidion,percarinatum,1893,LC,LC,2012,2015,LC,No,No,No,No,Yes,Dendrophidion percarinatum,Dendrophidion_percarinatum,
Dendrophidion prolixum,Dendrophidion prolixum,Reptilia,Serpentes,Colubridae,Dendrophidion,prolixum,2012,LC,LC,2013,2022,LC,No,No,No,Yes,Yes,Dendrophidion prolixum,Dendrophidion_prolixum,
Diaphorolepis laevis,Diaphorolepis laevis,Reptilia,Serpentes,Colubridae,Diaphorolepis,laevis,1923,DD,DD,2013,2015,DD,No,No,No,No,Yes,Diaphorolepis laevis,Diaphorolepis_laevis,
Diaphorolepis wagneri,Diaphorolepis wagneri,Reptilia,Serpentes,Colubridae,Diaphorolepis,wagneri,1863,LC,LC,2012,2017,NT,No,No,No,No,Yes,Diaphorolepis wagneri,Diaphorolepis_wagneri,
Diploglossus millepunctatus,Diploglossus millepunctatus,Reptilia,Anguimorpha,Diploglossidae,Diploglossus,millepunctatus,1874,LC,LC,2013,2015,LC,No,No,No,No,No,NA,Diploglossus_millepunctatus,
Diploglossus monotropis,Diploglossus monotropis,Reptilia,Anguimorpha,Diploglossidae,Diploglossus,monotropis,1820,LC,LC,2013,2016,LC,No,No,No,No,Yes,Diploglossus monotropis,Diploglossus_monotropis,
Dipsas baliomelas,Dipsas baliomelas,Reptilia,Serpentes,Colubridae,Dipsas,baliomelas,2008,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Dipsas baliomelas,Dipsas_baliomelas,
Dipsas catesbyi,Dipsas catesbyi,Reptilia,Serpentes,Colubridae,Dipsas,catesbyi,1796,LC,LC,2014,2019,LC,No,No,No,No,Yes,Dipsas catesbyi,Dipsas_catesbyi,
Dipsas ellipsifera,Dipsas ellipsifera,Reptilia,Serpentes,Colubridae,Dipsas,ellipsifera,1898,EN,EN,2014,2019,NE,No,No,No,No,No,NA,Dipsas_ellipsifera,
Dipsas gracilis,Dipsas gracilis,Reptilia,Serpentes,Colubridae,Dipsas,gracilis,1902,LC,LC,2016,2019,NE,No,No,No,No,No,NA,Dipsas_gracilis,
Dipsas indica,Dipsas indica,Reptilia,Serpentes,Colubridae,Dipsas,indica,1768,LC,LC,2013,2019,LC,No,No,No,No,Yes,Dipsas indica,Dipsas_indica,
Dipsas latifrontalis,Dipsas latifrontalis,Reptilia,Serpentes,Colubridae,Dipsas,latifrontalis,1905,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Dipsas pavonina,Dipsas pavonina,Reptilia,Serpentes,Colubridae,Dipsas,pavonina,1837,LC,LC,2014,2019,LC,No,No,No,No,Yes,Dipsas pavonina,Dipsas_pavonina,
Dipsas peruana,Dipsas peruana,Reptilia,Serpentes,Colubridae,Dipsas,peruana,1898,LC,LC,2014,2016,LC,No,No,No,No,Yes,Dipsas peruana,Dipsas_peruana,
Dipsas pratti,Dipsas pratti,Reptilia,Serpentes,Colubridae,Dipsas,pratti,1897,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Dipsas pratti,Dipsas_pratti,
Dipsas sanctijoannis,Dipsas sanctijoannis,Reptilia,Serpentes,Colubridae,Dipsas,sanctijoannis,1911,LC,LC,2013,2017,LC,No,No,No,Yes,Yes,Dipsas sanctijoannis,Dipsas_sanctijoannis,
Dipsas temporalis,Dipsas temporalis,Reptilia,Serpentes,Colubridae,Dipsas,temporalis,1909,LC,LC,2012,2015,LC,No,No,No,No,Yes,Dipsas temporalis,Dipsas_temporalis,
Dipsas vermiculata,Dipsas vermiculata,Reptilia,Serpentes,Colubridae,Dipsas,vermiculata,1960,LC,LC,2014,2016,NE,No,No,No,No,No,NA,Dipsas_vermiculata,
Dipsas viguieri,Dipsas viguieri,Reptilia,Serpentes,Colubridae,Dipsas,viguieri,1884,LC,LC,2012,2016,NE,No,No,No,No,Yes,Dipsas viguieri,Dipsas_viguieri,
Dracaena guianensis,Dracaena guianensis,Reptilia,Gymnophthalmoidea,Teiidae,Dracaena,guianensis,1801,LC,LC,2014,2019,NE,No,No,Appendix II,No,Yes,Dracaena guianensis,Dracaena_guianensis,
Drepanoides anomalus,Drepanoides anomalus,Reptilia,Serpentes,Colubridae,Drepanoides,anomalus,1863,LC,LC,2014,2019,LC,No,No,No,No,Yes,Drepanoides anomalus,Drepanoides_anomalus,
Drymarchon caudomaculatus,Drymarchon caudomaculatus,Reptilia,Serpentes,Colubridae,Drymarchon,caudomaculatus,2001,LC,LC,2015,2016,LC,No,No,No,No,Yes,Drymarchon caudomaculatus,Drymarchon_caudomaculatus,
Drymarchon corais,Drymarchon corais,Reptilia,Serpentes,Colubridae,Drymarchon,corais,1827,LC,LC,2014,2019,LC,No,No,No,No,Yes,Drymarchon corais,Drymarchon_corais,
Drymarchon melanurus,Drymarchon melanurus,Reptilia,Serpentes,Colubridae,Drymarchon,melanurus,1854,LC,LC,2013,2017,LC,No,No,No,No,Yes,Drymarchon melanurus,Drymarchon_melanurus,
Drymobius margaritiferus,Drymobius margaritiferus,Reptilia,Serpentes,Colubridae,Drymobius,margaritiferus,1837,LC,LC,2013,2017,LC,No,No,No,No,Yes,Drymobius margaritiferus,Drymobius_margaritiferus,
Drymobius rhombifer,Drymobius rhombifer,Reptilia,Serpentes,Colubridae,Drymobius,rhombifer,1860,LC,LC,2014,2019,LC,No,No,No,No,Yes,Drymobius rhombifer,Drymobius_rhombifer,
Drymoluber dichrous,Drymoluber dichrous,Reptilia,Serpentes,Colubridae,Drymoluber,dichrous,1863,LC,LC,2013,2019,LC,No,No,No,No,Yes,Drymoluber dichrous,Drymoluber_dichrous,
Echinanthera undulata,Echinanthera undulata,Reptilia,Serpentes,Colubridae,Echinanthera,undulata,1824,LC,LC,2012,2019,NE,No,No,No,No,No,NA,Echinanthera_undulata,
Echinosaura centralis,Echinosaura centralis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Echinosaura,centralis,1944,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Echinosaura horrida,Echinosaura horrida,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Echinosaura,horrida,1890,LC,LC,2013,2016,LC,No,No,No,No,Yes,Echinosaura horrida,Echinosaura_horrida,
Echinosaura orcesi,Echinosaura orcesi,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Echinosaura,orcesi,2002,NT,NT,2013,2015,NT,No,No,No,No,Yes,Echinosaura orcesi,Echinosaura_orcesi,
Echinosaura palmeri,Echinosaura palmeri,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Echinosaura,palmeri,1911,LC,LC,2014,2017,NE,No,No,No,No,Yes,Echinosaura palmeri,Echinosaura_palmeri,
Emmochliophis miops,Emmochliophis miops,Reptilia,Serpentes,Colubridae,Emmochliophis,miops,1898,CR,CR,2014,2017,NE,No,No,No,No,No,NA,Emmochliophis_miops,
Enuliophis sclateri,Enuliophis sclateri,Reptilia,Serpentes,Colubridae,Enuliophis,sclateri,1894,LC,LC,2013,2016,LC,No,No,No,No,Yes,Enuliophis sclateri,Enuliophis_sclateri,
Enulius flavitorques,Enulius flavitorques,Reptilia,Serpentes,Colubridae,Enulius,flavitorques,1868,LC,LC,2013,2016,LC,No,No,No,No,Yes,Enulius flavitorques,Enulius_flavitorques,
Enyalioides cofanorum,Enyalioides cofanorum,Reptilia,Iguania,Hoplocercidae,Enyalioides,cofanorum,1973,LC,LC,2014,2016,LC,No,No,No,No,Yes,Enyalioides cofanorum,Enyalioides_cofanorum,
Enyalioides heterolepis,Enyalioides heterolepis,Reptilia,Iguania,Hoplocercidae,Enyalioides,heterolepis,1874,LC,LC,2014,2016,LC,No,No,No,No,Yes,Enyalioides heterolepis,Enyalioides_heterolepis,
Enyalioides laticeps,Enyalioides laticeps,Reptilia,Iguania,Hoplocercidae,Enyalioides,laticeps,1855,LC,LC,2014,2019,LC,No,No,No,No,Yes,Enyalioides laticeps,Enyalioides_laticeps,
Enyalioides microlepis,Enyalioides microlepis,Reptilia,Iguania,Hoplocercidae,Enyalioides,microlepis,1881,LC,LC,2014,2016,LC,No,No,No,No,Yes,Enyalioides microlepis,Enyalioides_microlepis,
Enyalioides oshaughnessyi,Enyalioides oshaughnessyi,Reptilia,Iguania,Hoplocercidae,Enyalioides,oshaughnessyi,1881,VU,VU,2015,2015,VU,VU,VU,No,No,Yes,Enyalioides oshaughnessyi,Enyalioides_oshaughnessyi,
Enyalioides praestabilis,Enyalioides praestabilis,Reptilia,Iguania,Hoplocercidae,Enyalioides,praestabilis,1881,LC,LC,2014,2016,LC,No,No,No,No,Yes,Enyalioides praestabilis,Enyalioides_praestabilis,
Epicrates cenchria,Epicrates cenchria,Reptilia,Serpentes,Boidae,Epicrates,cenchria,1758,LC,LC,2013,2021,LC,No,No,Appendix II,No,Yes,Epicrates cenchria,Epicrates_cenchria,
Epicrates maurus,Epicrates maurus,Reptilia,Serpentes,Boidae,Epicrates,maurus,1849,LC,LC,2015,2018,LC,No,No,Appendix II,No,Yes,Epicrates maurus,Epicrates_maurus,
Epictia amazonica,Epictia amazonica,Reptilia,Serpentes,Leptotyphlopidae,Epictia,amazonica,1969,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Epictia goudotii,Epictia goudotii,Reptilia,Serpentes,Leptotyphlopidae,Epictia,goudotii,1844,LC,LC,2013,2021,LC,No,No,No,No,Yes,Epictia goudotii,Epictia_goudotii,
Epictia magnamaculata,Epictia magnamaculata,Reptilia,Serpentes,Leptotyphlopidae,Epictia,magnamaculata,1940,LC,LC,2013,2015,LC,No,No,No,No,Yes,Epictia magnamaculata,Epictia_magnamaculata,
Epictia signata,Epictia signata,Reptilia,Serpentes,Leptotyphlopidae,Epictia,signata,1861,NE,DD,2013,2021,NE,No,No,No,No,No,NA,Epictia_signata,
Epictia tenella,Epictia tenella,Reptilia,Serpentes,Leptotyphlopidae,Epictia,tenella,1939,NE,NE,NA,NA,NE,No,No,No,No,No,NA,Epictia_tenella,
Erythrolamprus aesculapii,Erythrolamprus aesculapii,Reptilia,Serpentes,Colubridae,Erythrolamprus,aesculapii,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Erythrolamprus aesculapii,Erythrolamprus_aesculapii,
Erythrolamprus albiventris,Erythrolamprus albiventris,Reptilia,Serpentes,Colubridae,Erythrolamprus,albiventris,1863,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Erythrolamprus bizona,Erythrolamprus bizona,Reptilia,Serpentes,Colubridae,Erythrolamprus,bizona,1863,LC,LC,2013,2016,LC,No,No,No,No,Yes,Erythrolamprus bizona,Erythrolamprus_bizona,
Erythrolamprus breviceps,Erythrolamprus breviceps,Reptilia,Serpentes,Colubridae,Erythrolamprus,breviceps,1860,LC,LC,2014,2019,NE,No,No,No,No,Yes,Erythrolamprus breviceps,Erythrolamprus_breviceps,
Erythrolamprus epinephalus,Erythrolamprus epinephalus,Reptilia,Serpentes,Colubridae,Erythrolamprus,epinephalus,1862,LC,LC,2018,2019,LC,No,No,No,No,Yes,Erythrolamprus epinephelus,Erythrolamprus_epinephelus,
Erythrolamprus lamonae,Erythrolamprus lamonae,Reptilia,Serpentes,Colubridae,Erythrolamprus,lamonae,1944,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Erythrolamprus melanotus,Erythrolamprus melanotus,Reptilia,Serpentes,Colubridae,Erythrolamprus,melanotus,1802,LC,LC,2015,2016,LC,No,No,No,No,Yes,Erythrolamprus melanotus,Erythrolamprus_melanotus,
Erythrolamprus miliaris,Erythrolamprus miliaris,Reptilia,Serpentes,Colubridae,Erythrolamprus,miliaris,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Erythrolamprus miliaris,Erythrolamprus_miliaris,
Erythrolamprus mimus,Erythrolamprus mimus,Reptilia,Serpentes,Colubridae,Erythrolamprus,mimus,1868,LC,LC,2012,2013,LC,No,No,No,No,Yes,Erythrolamprus mimus,Erythrolamprus_mimus,
Erythrolamprus pseudocorallus,Erythrolamprus pseudocorallus,Reptilia,Serpentes,Colubridae,Erythrolamprus,pseudocorallus,1959,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Erythrolamprus pseudocorallus,Erythrolamprus_pseudocorallus,
Erythrolamprus pyburni,Erythrolamprus pyburni,Reptilia,Serpentes,Colubridae,Erythrolamprus,pyburni,1979,DD,DD,2013,2017,DD,No,No,No,Yes,Yes,Erythrolamprus pyburni,Erythrolamprus_pyburni,
Erythrolamprus pygmaeus,Erythrolamprus pygmaeus,Reptilia,Serpentes,Colubridae,Erythrolamprus,pygmaeus,1868,NE,LC,2013,2019,NE,No,No,No,No,Yes,Erythrolamprus pygmaeus,Erythrolamprus_pygmaeus,
Erythrolamprus reginae,Erythrolamprus reginae,Reptilia,Serpentes,Colubridae,Erythrolamprus,reginae,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Erythrolamprus reginae,Erythrolamprus_reginae,
Erythrolamprus taeniogaster,Erythrolamprus taeniogaster,Reptilia,Serpentes,Colubridae,Erythrolamprus,taeniogaster,1863,LC,LC,2013,2019,NE,No,No,No,No,Yes,Erythrolamprus taeniogaster,Erythrolamprus_taeniogaster,
Erythrolamprus taeniurus,Erythrolamprus taeniurus,Reptilia,Serpentes,Colubridae,Erythrolamprus,taeniurus,1845,LC,LC,2014,2016,NE,No,No,No,No,No,NA,Erythrolamprus_taeniurus,
Erythrolamprus typhlus,Erythrolamprus typhlus,Reptilia,Serpentes,Colubridae,Erythrolamprus,typhlus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Erythrolamprus typhlus,Erythrolamprus_typhlus,
Erythrolamprus vitti,Erythrolamprus vitti,Reptilia,Serpentes,Colubridae,Erythrolamprus,vitti,2000,DD,DD,2013,2017,NE,No,No,No,No,No,NA,Erythrolamprus_vitti,
Eunectes murinus,Eunectes murinus,Reptilia,Serpentes,Boidae,Eunectes,murinus,1758,LC,LC,2014,2021,LC,No,No,Appendix II,No,Yes,Eunectes murinus,Eunectes_murinus,
Gelanesaurus cochranae,Gelanesaurus cochranae,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Gelanesaurus,cochranae,1931,LC,LC,2014,2016,NE,No,No,No,No,Yes,Gelanesaurus cochranae,NA,
Geophis betaniensis,Geophis betaniensis,Reptilia,Serpentes,Colubridae,Geophis,betaniensis,1987,DD,DD,2013,2016,DD,No,No,No,Yes,Yes,Geophis betaniensis,Geophis_betaniensis,
Geophis hoffmanni,Geophis hoffmanni,Reptilia,Serpentes,Colubridae,Geophis,hoffmanni,1859,LC,LC,2012,2016,NE,No,No,No,No,No,NA,Geophis_hoffmanni,
Geophis nigroalbus,Geophis nigroalbus,Reptilia,Serpentes,Colubridae,Geophis,nigroalbus,1908,NT,NT,2013,2015,NT,No,No,No,Yes,Yes,Geophis nigroalbus,Geophis_nigroalbus,
Gonatodes albogularis,Gonatodes albogularis,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,albogularis,1836,LC,LC,2013,2022,LC,No,No,No,No,Yes,Gonatodes albogularis,Gonatodes_albogularis,
Gonatodes castanae,Gonatodes castanae,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,castanae,2020,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Gonatodes caudiscutatus,Gonatodes caudiscutatus,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,caudiscutatus,1859,LC,LC,2013,2016,NE,No,No,No,No,No,NA,Gonatodes_caudiscutatus,
Gonatodes chucuri,Gonatodes chucuri,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,chucuri,2020,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
